238;Gutenbergstr.
239;Liebigstr.
240;Lülsdorf Uhlandstr.
241;Weiden Schulstr.
242;Schaffrathsgasse
243;Walter-Pauli-Ring
244;Willi-Lauf-Allee
245;Subbelrather Str./Gürtel
246;Nußbaumerstr.
247;Lenauplatz
248;Stand: 15:04 Uhr  
249;Iltisstr.
250;Butzweilerstr.
251;Venloer Str./Gürtel
252;Eichenstr.
253;Geisselstr.
254;Weinsbergstr./Gürtel
255;Leyendeckerstr.
256;Borsigstr.
257;Bf Deutz/Messeplatz
258;Oskar-Jäger-Str.
259;Karnevalsmuseum
260;Vogelsanger Str./Maarweg
261;Weiden Zentrum
262;Äußere Kanalstr.
263;Alter Deutzer Postweg
264;Akazienweg
265;Vogelsanger Str.
266;Häuschensweg
267;Feltenstr.
268;Emilstr.
269;Erlenweg
270;Mühlenweg
271;Ossendorf
272;Rektor-Klein-Str.
273;Margaretastr.
274;Alter Flughafen Butzweilerhof
275;Hugo-Eckener-Str.
276;Blériotstr.
277;Von-Hünefeld-Str.
278;Mathias-Brüggen-Str.
279;Militärringstr.
280;Lülsdorf Nord
281;Lülsdorf Schulzentrum
282;Wolffsohnstr.
283;Westfriedhof
284;Lacher Broch
285;Kolkrabenweg
286;Steinkauzweg
287;Bachstelzenweg
288;Goldammerweg
289;Vogelsanger Markt
290;Falkenweg
291;Bocklemünd
292;WDR
293;Grevenbroicher Str.
294;Nattermannallee
295;Dohmengasse
296;Kochwiesenstr.
297;Auweilerweg
298;Ollenhauerring
299;Nüssenberger Str.
300;Görlinger Zentrum
301;Heinrich-Mann-Str.
302;Buschweg
303;Neusser Str./Gürtel
304;Florastr.
305;Lohsestr.
306;Nordstr.
307;Leipziger Platz
308;Niehler Str.
309;Kretzerstr.
310;Bergstr.
311;Sechzigstr.
312;Merheimer Platz
313;Zoo/Flora
314;Boltensternstr.
315;Slabystr.
316;Kinderkrankenhaus
317;Amsterdamer Str./Gürtel
318;Bodinusstr.
319;Riehler Gürtel
320;Seniorenzentrum Riehl
321;Stand: 15:04 Uhr  
322;Ranzel Gewerbegebiet
323;Xantener Str.
324;Hahnwaldweg
325;Geldernstr./Parkgürtel
326;Escher Str.
327;Nievenheimer Str.
328;Ludwigsburger Str.
329;Frankenthaler Str.
330;Ebernburgweg
331;Alzeyer Str.
332;Am Bilderstöckchen
333;Stand: 15:05 Uhr  
334;Robert-Perthel-Str.
335;Longericher Str. Nord
336;Mollwitzstr.
337;Scheibenstr.
338;Nordfriedhof
339;Nibelungenplatz
340;Schmiedegasse
341;Etzelstr.
342;Niehl
343;Niehl Sebastianstr.
344;Ranzel Kirche
345;Friedrich-Karl-Str./Niehler Str.
346;Drosselweg
347;Weidenpescher Str.
348;Graditzer Str.
349;Merkenicher Str.
350;Halfengasse
351;Niehler Damm
352;Riehl Betriebshof Nord
353;Stand: 15:05 Uhr  
354;St.Joseph-Kirche
355;Meerfeldstr.
356;Longericher Str.
357;Longerich Friedhof
358;Longerich S-Bahn
359;Lindweilerweg
360;Dionysstr.
361;Dädalusring
362;Wilhelm-Sollmann-Str.
363;Altonaer Platz
364;Herforder Str.
365;Bremerhavener Str.
366;Esso
367;Geestemünder Str.
368;Fordwerke Süd
369;Fordwerke Mitte
370;Fordwerke Nord
371;Bonn Bad Godesberg Stadthalle
372;Heinering
373;Pesch Schulstr.
374;Auweiler
375;Hermann-Löns-Str.
376;Chorbuschstr.
377;Esch
378;Johannes-Prassel-Str.
379;Sinnersdorfer Mühle
380;Pescher Weg
381;Otto-Müller-Str.
382;Gewerbegebiet Pesch
383;Donatusstr.
384;Heimersdorf
385;Chorweiler
386;Karl-Marx-Allee
387;Am Hetzepetsch
388;Herstattallee
389;Zypressenstr.
390;Stallagsweg
